Wavelength (m),Spectral flux (W/m^2/m)
4.9700E-07,4.16E-07
4.9750E-07,4.03E-07
4.9800E-07,4.01E-07
4.9850E-07,4.09E-07
4.9900E-07,4.09E-07
4.9950E-07,4.03E-07
5.0000E-07,3.97E-07
5.0050E-07,3.94E-07
5.0100E-07,3.90E-07
5.0150E-07,3.93E-07
5.0200E-07,4.01E-07
5.0250E-07,4.06E-07
5.0300E-07,4.00E-07
5.0350E-07,3.95E-07
5.0400E-07,3.99E-07
5.0450E-07,4.06E-07
5.0500E-07,4.12E-07
5.0550E-07,4.14E-07
5.0600E-07,4.10E-07
5.0650E-07,4.04E-07
5.0700E-07,3.97E-07
5.0750E-07,3.96E-07
5.0800E-07,4.02E-07
5.0850E-07,4.08E-07
5.0900E-07,4.04E-07
5.0950E-07,4.00E-07
5.1000E-07,4.01E-07
5.1050E-07,4.04E-07
5.1100E-07,4.08E-07
5.1150E-07,4.03E-07
5.1200E-07,3.96E-07
5.1250E-07,3.92E-07
5.1300E-07,3.88E-07
5.1350E-07,3.86E-07
5.1400E-07,3.88E-07
5.1450E-07,3.93E-07
5.1500E-07,3.96E-07
5.1550E-07,3.88E-07
5.1600E-07,3.67E-07
5.1650E-07,3.58E-07
5.1700E-07,3.69E-07
5.1750E-07,3.73E-07
5.1800E-07,3.69E-07
5.1850E-07,3.74E-07
5.1900E-07,3.80E-07
5.1950E-07,3.82E-07
5.2000E-07,3.82E-07
5.2050E-07,3.84E-07
5.2100E-07,3.88E-07
5.2150E-07,3.87E-07
5.2200E-07,3.80E-07
5.2250E-07,3.79E-07
5.2300E-07,3.85E-07
5.2350E-07,3.91E-07
5.2400E-07,3.92E-07
5.2450E-07,3.90E-07
5.2500E-07,3.88E-07
5.2550E-07,3.76E-07
5.2600E-07,3.62E-07
5.2650E-07,3.62E-07
5.2700E-07,3.72E-07
5.2750E-07,3.81E-07
5.2800E-07,3.88E-07
5.2850E-07,3.92E-07
5.2900E-07,3.88E-07
5.2950E-07,3.87E-07
5.3000E-07,3.91E-07
5.3050E-07,3.92E-07
5.3100E-07,3.88E-07
5.3150E-07,3.80E-07
5.3200E-07,3.74E-07
5.3250E-07,3.75E-07
5.3300E-07,3.79E-07
5.3350E-07,3.80E-07
5.3400E-07,3.82E-07
5.3450E-07,3.86E-07
5.3500E-07,3.90E-07
5.3550E-07,3.87E-07
5.3600E-07,3.79E-07
5.3650E-07,3.77E-07
5.3700E-07,3.83E-07
5.3750E-07,3.84E-07
5.3800E-07,3.81E-07
5.3850E-07,3.78E-07
5.3900E-07,3.74E-07
5.3950E-07,3.69E-07
5.4000E-07,3.68E-07
5.4050E-07,3.70E-07
5.4100E-07,3.74E-07
5.4150E-07,3.76E-07
5.4200E-07,3.74E-07
5.4250E-07,3.74E-07
5.4300E-07,3.77E-07
5.4350E-07,3.79E-07
5.4400E-07,3.78E-07
5.4450E-07,3.77E-07
5.4500E-07,3.76E-07
5.4550E-07,3.75E-07
5.4600E-07,3.75E-07
5.4650E-07,3.74E-07
5.4700E-07,3.70E-07
5.4750E-07,3.71E-07
5.4800E-07,3.74E-07
5.4850E-07,3.75E-07
5.4900E-07,3.73E-07
5.4950E-07,3.72E-07
5.5000E-07,3.70E-07
5.5050E-07,3.71E-07
5.5100E-07,3.73E-07
5.5150E-07,3.74E-07
5.5200E-07,3.69E-07
5.5250E-07,3.67E-07
5.5300E-07,3.70E-07
5.5350E-07,3.72E-07
5.5400E-07,3.73E-07
5.5450E-07,3.73E-07
5.5500E-07,3.70E-07
5.5550E-07,3.67E-07
5.5600E-07,3.64E-07
5.5650E-07,3.63E-07
5.5700E-07,3.65E-07
5.5750E-07,3.64E-07
5.5800E-07,3.57E-07
5.5850E-07,3.52E-07
5.5900E-07,3.53E-07
5.5950E-07,3.56E-07
5.6000E-07,3.62E-07
5.6050E-07,3.65E-07
5.6100E-07,3.61E-07
5.6150E-07,3.60E-07
5.6200E-07,3.63E-07
5.6250E-07,3.64E-07
5.6300E-07,3.62E-07
5.6350E-07,3.60E-07
